OBJECTID,Zip9,NewPOD,NewMTS,ChangeDate,Description,Zip9_1,Zip5,RecType,Name
1,847161313,9002,9002,1/1/2006 0:28:31,Boulder,847161313,84716,P,PO BOX
2,847161314,9002,9002,1/1/2006 0:28:31,Boulder,847161314,84716,P,PO BOX
3,847161315,9002,9002,1/1/2006 0:28:31,Boulder,847161315,84716,P,PO BOX
4,847161316,9002,9002,1/1/2006 0:28:31,Boulder,847161316,84716,P,PO BOX
5,847161317,9002,9002,1/1/2006 0:28:31,Boulder,847161317,84716,P,PO BOX
6,847161318,9002,9002,1/1/2006 0:28:31,Boulder,847161318,84716,P,PO BOX
7,847161319,9002,9002,1/1/2006 0:28:31,Boulder,847161319,84716,P,PO BOX
8,847161320,9002,9002,1/1/2006 0:28:31,Boulder,847161320,84716,P,PO BOX
9,847161321,9002,9002,1/1/2006 0:28:31,Boulder,847161321,84716,P,PO BOX
10,847161322,9002,9002,1/1/2006 0:28:31,Boulder,847161322,84716,P,PO BOX
11,847161323,9002,9002,1/1/2006 0:28:31,Boulder,847161323,84716,P,PO BOX
12,847161324,9002,9002,1/1/2006 0:28:31,Boulder,847161324,84716,P,PO BOX
13,847161325,9002,9002,1/1/2006 0:28:31,Boulder,847161325,84716,P,PO BOX
14,847161326,9002,9002,1/1/2006 0:28:31,Boulder,847161326,84716,P,PO BOX
15,847161327,9002,9002,1/1/2006 0:28:31,Boulder,847161327,84716,P,PO BOX
16,847161328,9002,9002,1/1/2006 0:28:31,Boulder,847161328,84716,P,PO BOX
17,847161329,9002,9002,1/1/2006 0:28:31,Boulder,847161329,84716,P,PO BOX
18,847161330,9002,9002,1/1/2006 0:28:31,Boulder,847161330,84716,P,PO BOX
19,847161331,9002,9002,1/1/2006 0:28:31,Boulder,847161331,84716,P,PO BOX
20,847161332,9002,9002,1/1/2006 0:28:31,Boulder,847161332,84716,P,PO BOX
21,847161333,9002,9002,1/1/2006 0:28:31,Boulder,847161333,84716,P,PO BOX
22,847161334,9002,9002,1/1/2006 0:28:31,Boulder,847161334,84716,P,PO BOX
23,847161335,9002,9002,1/1/2006 0:28:31,Boulder,847161335,84716,P,PO BOX
24,847161336,9002,9002,1/1/2006 0:28:31,Boulder,847161336,84716,P,PO BOX
25,847161337,9002,9002,1/1/2006 0:28:31,Boulder,847161337,84716,P,PO BOX
26,847161338,9002,9002,1/1/2006 0:28:31,Boulder,847161338,84716,P,PO BOX
